name,KH,error
1553679_F_pacman,6.095344e-06,2.052848e-07
1553679_R_pacman,3.336571e-06,2.839858e-07
1553680_F_pacman,3.761723e-06,1.515123e-07
1553680_R_pacman,5.966912e-05,7.559357e-05
1554166_A_pacman,0.001655367,0.002474876
1554166_F_pacman,0.0001486136,0.000111623
1554166_R_pacman,0.002615161,0.001007324
1556423_IF_pacman,0.0214098,0.006633008
1556423_R_pacman,2.434498e-38,1.944704e-38
1556424_IA_pacman,0.00702155,0.01162767
1556424_IF_pacman,0.0001816227,1.195484e-05
1556424_R_pacman,1.990952e-21,1.031908e-21
1556530_R_pacman,1.157199e-05,5.517528e-07
1556830_R_pacman,6.922768e-06,3.219294e-07
1557246_F_pacman,0.0002640557,0.0002842104
1557246_R_pacman,1.369016e-06,6.039277e-07
1557251_F_pacman,1.224134e-05,2.344131e-06
1557251_R_pacman,6.436325e-09,6.204361e-09
1557389_F_pacman,0.000109014,1.685961e-05
1557389_R_pacman,9.174384e-07,3.086989e-08
1557472_A_pacman,0.07410527,0.03058638
1557472_F_pacman,0.004654397,0.0004966743
1557472_R_pacman,1.924352e-18,1.664885e-18
1557725_F_pacman,0.0002341411,2.623652e-05
1557725_R_pacman,2.027048e-05,1.299943e-06
1558111_A_pacman,0.04578708,0.02958819
1558111_F_pacman,5.047746e-05,8.848581e-06
1558111_R_pacman,6.650401e-06,9.841184e-07
1558112_F_pacman,0.0003531926,0.0001143555
1558112_R_pacman,2.97282e-06,4.270201e-07
1558130_R_pacman,1.208907e-05,3.807956e-07
1558698_R_pacman,1.709058e-06,5.152608e-08
1558704_R_pacman,1.740629e-06,3.120186e-08
1558705_R_pacman,1.590694e-06,2.660893e-08
1558717_R_pacman,1.301088e-06,3.909936e-08
1558877_IF_pacman,0.0001001683,3.055324e-05
1558877_R_pacman,3.457583e-05,5.942347e-06
1558904_A_pacman,6.815627e-06,3.834318e-06
1558904_R_pacman,9.456133e-05,6.686341e-06
1558961_R_pacman,5.35516e-06,1.5367e-07
1559677_R_pacman,0.01410557,0.001764156
1559678_R_pacman,1.030363e-05,4.505048e-07
1559680_R_pacman,8.957884e-06,6.819061e-07
1560331_A_pacman,0.003402456,0.003237505
1560331_R_pacman,2.378185e-05,1.442816e-06
1560332_A_pacman,2.247655,3.755826
